股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300031,宝通科技,2021-09-08,12.05,16.73,17.37,171.44%,-13%/-5%(阴),-10%,0%,-3%,2%,2%,0%
300031,宝通科技,2021-11-08,2.94,14.77,23.5,152.18%,-5%/4%(阳),10%,6%,7%,10%,9%,15%
300032,金龙机电,2025-05-08,7.41,17.86,18.05,221.85%,-12%/-5%(阴),-9%,-8%,-9%,-1%,6%,-6%
300042,朗科科技,2026-05-06,1.69,7.35,11.71,138.37%,5%/15%(阳),5%,12%,9%,12%,12%,9%
300043,星辉娱乐,2023-04-24,4.86,14.07,21.22,111.73%,-8%/1%(阴),11%,4%,9%,11%,6%,2%
300044,*ST赛为,2023-01-30,6.06,14.14,18.73,184.55%,7%/21%(板),44%(板),60%,48%,53%,50%,55%
300045,华力创通,2021-12-16,3.08,8.47,13.26,283.05%,1%/11%(阴),1%,1%,0%,-5%,-7%,-11%
300045,华力创通,2026-01-12,6.93,9.53,17.06,131.16%,-12%/4%(阴),-3%,-13%,-17%,-19%,-16%,-22%
300047,天源迪科,2025-05-06,8.89,11.45,14.56,156.36%,6%/14%(阴),7%,2%,-2%,-2%,1%,-1%
300050,世纪鼎利,2024-08-15,10.78,20.59,22.71,147.98%,12%/20%(板),43%,38%,32%,39%,56%(板),73%
300058,蓝色光标,2025-12-31,7.02,9.36,19.17,137.07%,0%/20%(板),21%,29%,36%,51%,78%(板),107%
300058,蓝色光标,2026-01-12,14.08,17.66,16.94,127.64%,-9%/16%(阴),11%,1%,-12%,-16%,-12%,-9%
300065,海兰信,2026-07-10,-0.66,5.8,22.8,178.37%,-13%/2%(阴),-14%,-25%,-32%,-36%,-39%,-42%
300071,福石控股,2026-01-12,12.56,15.43,20.56,141.19%,-7%/11%(阴),5%,-6%,-13%,-17%,-16%,-18%
300075,数字政通,2021-12-28,3.12,8.25,20.39,140.8%,-1%/8%(阳),16%,15%,25%,13%,9%,13%
300077,国民技术,2021-05-31,12.4,15.25,17.13,194.78%,-3%/17%(阳),11%,14%,8%,18%(板),28%,22%
300077,国民技术,2024-09-30,7.6,8.27,15.73,175.27%,21%/21%(板),44%(板),72%,61%,71%(板),103%,85%
300078,思创智联,2025-02-10,8.97,14.95,19.51,211.3%,3%/15%(阴),8%,1%,16%(板),39%,29%,24%
300078,思创智联,2025-11-18,4.46,6.41,19.2,384.9%,-3%/15%(阳),6%,7%,12%,18%,17%,5%
300078,思创智联,2026-01-13,3.96,4.84,20.3,193.03%,1%/16%(阳),2%,0%,-8%,-4%,-8%,-10%
300082,奥克股份,2024-11-22,2.57,6.71,18.8,468.89%,-4%/10%(阳),0%,-9%,-4%,-12%,-11%,-11%
300086,康芝药业,2021-12-27,3.42,5.88,14.5,149.6%,3%/15%(阴),27%(板),52%,46%,38%,25%,24%
300087,ST荃银,2024-10-28,9.93,16.67,15.99,169.28%,6%/20%(阳),23%,23%,27%,6%,3%,22%
300092,科新机电,2025-09-02,6.82,10.27,14.83,308.67%,2%/21%(板),23%,27%,30%,30%,22%,17%
300094,国联水产,2021-04-13,7.58,12.71,17.73,167.84%,-9%/2%(阴),-9%,-15%,-19%,-18%,-21%,-23%
300094,国联水产,2023-08-24,11.03,17.57,25.93,145.18%,-2%/17%(阴),8%,-3%,-7%,-7%,-10%,-11%
300096,ST易联众,2021-05-25,16.82,20.76,24.97,147.5%,-5%/8%(阴),-3%,4%,4%,18%,24%,16%
300098,高新兴,2024-06-18,7.09,12.91,21.28,179.25%,-2%/10%(阳),13%,7%,4%,-3%,-11%,-9%
300100,双林股份,2024-09-26,-2.53,3.99,20.0,222.95%,3%/17%(阳),31%,58%(板),49%,34%,27%,25%
300102,乾照光电,2024-10-21,12.47,17.75,17.68,203.64%,-9%/9%(阳),4%,-5%,10%(板),26%,41%(板),39%
300105,龙源技术,2021-03-26,5.56,10.91,18.52,215.39%,-9%/8%(阴),0%,-7%,-12%,-18%,-20%,-20%
300106,西部牧业,2023-09-01,6.14,12.5,20.04,147.95%,-6%/6%(阴),-6%,-12%,-16%,-18%,-20%,-19%
300108,未找到标的,2021-07-01,8.43,20.35,21.98,200.77%,2%/16%(阳),9%,4%,-5%,-5%,-9%,-9%
