股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300477,ST合纵,2021-05-20,4.3,7.78,+1.82,+9.60,20.87,116.61%,1%/4%(阳),3%,-3%,-3%,-4%,2%,18%
300477,ST合纵,2025-03-27,-4.72,11.67,-5.56,+6.11,20.0,151.05%,-3%/6%(阴),-4%,-7%,-7%,-10%,-18%,-26%
300478,杭州高新,2021-11-01,-1.32,7.41,-3.55,+3.86,6.7,142.78%,-3%/2%(阴),1%,-2%,-3%,-3%,-5%,-4%
300478,杭州高新,2024-01-03,-7.38,8.04,-7.51,+0.53,18.28,134.08%,-3%/2%(阴),-2%,-7%,-8%,-6%,-7%,-6%
300479,神思电子,2021-12-08,-3.65,10.56,-5.16,+5.39,19.07,110.46%,-3%/14%(阳),6%,9%,13%,9%,6%,13%
300479,神思电子,2024-09-06,-8.65,7.8,-8.71,-0.91,13.79,119.52%,-3%/2%(阳),2%,0%,2%,-1%,-5%,-5%
300479,神思电子,2025-01-27,-5.88,7.3,-6.37,+0.93,8.99,83.89%,5%/11%(阳),10%,14%,16%,15%,19%,14%
300481,濮阳惠成,2026-06-12,-0.47,5.4,-1.53,+3.88,22.9,128.75%,-2%/11%(阳),19%,16%,16%,11%,11%,14%
300481,濮阳惠成,2026-07-02,-10.25,7.32,-11.31,-3.99,21.66,93.64%,-8%/0%(阴),-6%,-12%,-14%,-17%,-7%,-17%
300483,首华燃气,2025-11-17,-8.76,5.33,-9.34,-4.01,17.72,99.63%,-5%/2%(阴),-2%,-4%,-9%,-10%,-10%,-10%
300487,蓝晓科技,2021-06-24,0.92,10.72,-3.34,+7.39,18.02,114.63%,-8%/1%(阴),8%,8%,7%,23%,16%,21%
300487,蓝晓科技,2026-07-02,-4.18,8.34,-5.06,+3.29,15.23,139.58%,1%/13%(阳),11%,8%,6%,6%,25%,25%
300488,恒锋工具,2022-10-18,-4.43,8.35,-4.51,+3.83,20.32,114.22%,-1%/7%(阳),4%,3%,6%,6%,10%,9%
300489,光智科技,2020-10-14,-5.84,3.73,-6.81,-3.08,17.14,57.88%,1%/5%(阴),4%,4%,2%,6%,6%,10%
300489,光智科技,2021-08-27,0.68,11.15,-4.63,+6.51,20.71,167.95%,-6%/-1%(阳),-4%,-8%,-11%,-8%,-12%,-9%
300489,光智科技,2025-05-20,4.61,15.37,+4.44,+19.81,2.07,426.16%,-7%/2%(阴),-7%,-8%,-5%,-9%,-11%,-13%
300490,华自科技,2020-12-09,-3.68,13.05,-4.56,+8.49,19.88,195.57%,-3%/7%(阳),1%,-3%,6%,5%,4%,3%
300495,未找到标的,2022-08-29,6.14,13.36,+2.53,+15.88,4.33,326.9%,0%/20%(板),42%,22%,21%,12%,27%,22%
300499,高澜股份,2021-10-26,7.06,18.19,+1.82,+20.01,18.18,300.98%,-6%/2%(阴),7%,10%,25%,20%,21%,17%
300499,高澜股份,2024-11-08,-6.52,8.99,-6.52,+2.47,21.23,78.13%,0%/8%(阳),20%,11%,9%,9%,12%,2%
300500,启迪设计,2023-05-08,0.87,12.43,-1.64,+10.80,20.88,130.7%,-8%/-1%(阴),-4%,-3%,0%,-8%,-9%,-11%
300501,海顺新材,2020-10-14,-3.2,7.83,-6.25,+1.58,16.98,119.18%,-2%/14%(阳),13%,8%,8%,15%,1%,2%
300502,新易盛,2024-02-20,-4.37,5.77,-5.89,-0.12,15.77,82.94%,-5%/-3%(阴),-2%,-1%,-1%,3%,0%,-4%
300503,昊志机电,2021-08-24,-0.15,11.1,-4.14,+6.96,14.59,132.44%,-8%/-3%(阴),1%,4%,3%,1%,-4%,-4%
300504,天邑股份,2024-10-09,-15.82,10.26,-15.82,-5.56,14.08,78.31%,-2%/5%(阴),-2%,2%,4%,17%,12%,12%
300504,天邑股份,2026-03-12,-5.38,5.69,-5.85,-0.16,18.32,139.95%,-3%/3%(阴),1%,-3%,-7%,-7%,-6%,-17%
300505,川金诺,2024-11-21,-2.85,7.36,-4.83,+2.52,20.43,145.6%,-6%/-1%(阴),-7%,-6%,-9%,-5%,-7%,-1%
300507,苏奥传感,2021-01-21,1.42,19.32,-0.08,+19.23,14.09,370.3%,-9%/-2%(阴),-8%,-8%,-12%,-13%,-18%,-18%
300507,苏奥传感,2022-04-08,-10.38,8.87,-11.70,-2.83,2.38,119.24%,-4%/1%(阴),3%,5%,6%,1%,10%,9%
300507,苏奥传感,2025-05-08,-1.49,10.18,-2.75,+7.44,6.73,219.45%,-3%/6%(阳),8%,4%,0%,-3%,-3%,0%
300507,苏奥传感,2025-09-19,-2.2,6.03,-4.21,+1.82,20.57,72.39%,-2%/2%(阴),0%,1%,-1%,-3%,-5%,-7%
300508,维宏股份,2021-07-02,-3.89,13.7,-5.07,+8.63,19.54,150.97%,-2%/4%(阴),0%,3%,2%,1%,0%,-2%
300508,维宏股份,2024-10-22,-5.68,15.21,-7.24,+7.97,9.95,214.16%,-2%/1%(阳),1%,1%,-2%,0%,-3%,-3%
300509,新美星,2024-12-11,-8.43,8.2,-10.64,-2.44,18.88,85.57%,-3%/2%(阴),-1%,-1%,-3%,-5%,-7%,-9%
300510,金冠股份,2025-03-19,-4.37,10.12,-4.56,+5.56,15.48,236.28%,-2%/5%(阴),-1%,-4%,-6%,1%,-2%,-7%
300510,金冠股份,2026-07-24,-6.01,7.38,-6.56,+0.82,19.67,96.99%,-3%/0%(阳),0%,0%,0%,-1%,2%,3%
300512,中亚股份,2025-10-10,4.0,16.75,+0.63,+17.39,20.48,233.44%,-11%/-3%(阳),4%,-1%,-5%,4%,12%,8%
300513,恒实科技,2025-06-06,4.15,10.0,+2.55,+12.55,10.98,224.97%,-6%/0%(阳),7%,1%,-1%,-4%,-7%,-7%
300514,友讯达,2020-10-13,0.13,13.12,-3.99,+9.12,19.17,246.49%,-3%/0%(阴),-5%,-4%,1%,0%,-2%,-5%
300517,海波重科,2024-07-23,-5.86,14.1,-6.32,+7.78,14.95,116.98%,1%/7%(阳),4%,3%,1%,-1%,-2%,-3%
300519,新光药业,2021-05-14,2.02,10.29,+1.06,+11.35,20.94,184.83%,-8%/0%(阴),-6%,-8%,3%,1%,-4%,-1%
300519,新光药业,2024-08-02,-5.53,12.6,-7.14,+5.45,19.54,179.06%,-5%/3%(阴),9%,2%,9%,3%,8%,5%
300520,科大国创,2025-10-24,4.44,12.17,+3.46,+15.63,18.87,188.27%,-2%/13%(阳),15%,30%,42%,34%,29%,41%
300520,科大国创,2026-01-13,-9.46,13.73,-10.68,+3.05,21.57,86.14%,0%/20%(板),25%,18%,16%,10%,3%,5%
300521,爱司凯,2023-07-18,2.94,9.8,+0.65,+10.46,18.35,279.99%,-5%/2%(阳),3%,-3%,-12%,-13%,-13%,-14%
300521,爱司凯,2024-08-30,-0.69,12.35,-2.57,+9.78,22.12,255.07%,-4%/20%(阳),8%,3%,-1%,-4%,-8%,-9%
300521,爱司凯,2024-12-10,2.66,16.09,-1.83,+14.26,20.16,117.1%,-1%/14%(阳),11%,11%,22%,15%,10%,13%
300521,爱司凯,2025-06-13,-10.81,8.96,-11.56,-2.59,21.04,87.23%,-2%/15%(阳),9%,5%,3%,-1%,-1%,1%
300523,辰安科技,2024-02-26,-6.41,8.26,-8.26,+0.00,20.94,84.81%,-2%/1%(阳),1%,-4%,-4%,-2%,-3%,-5%
300526,未找到标的,2022-07-27,-1.09,9.57,-3.04,+6.52,19.82,136.04%,-4%/15%(阳),13%,17%,18%,31%,51%(板),67%
300526,未找到标的,2023-03-20,1.09,6.93,-2.59,+4.34,19.84,118.92%,-3%/1%(阳),-2%,5%,-2%,-10%,-12%,-20%
