股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301036,双乐股份,2023-09-08,11.49,13.86,-6.17,7.3,17.19,145.18%,-9%/5%(阳),-5%,-7%,-9%,-12%,-15%,-17%
301058,中粮科工,2021-12-15,-3.34,13.44,0.83,5.79,21.92,176.14%,-8%/-1%(阴),-4%,-2%,-3%,2%,11%,6%
301075,多瑞医药,2022-12-12,4.05,8.67,0.26,5.46,15.62,197.63%,4%/20%(板),32%,39%,56%,53%,40%,33%
301075,多瑞医药,2023-08-11,5.09,15.19,0.6,5.14,21.41,213.67%,-3%/9%(阴),-1%,-2%,-9%,-15%,-18%,-19%
301091,深城交,2022-02-18,6.25,8.5,-4.96,4.32,21.49,164.75%,-5%/8%(阴),-3%,-9%,-4%,-5%,-5%,-6%
301092,争光股份,2022-06-07,3.03,6.34,2.15,4.03,21.47,738.35%,7%/20%(板),23%,10%,7%,5%,0%,-2%
301118,恒光股份,2024-07-08,4.42,15.77,-1.65,7.7,15.77,178.53%,-9%/-4%(阴),-11%,-2%,-7%,-5%,-10%,-8%
301120,新特电气,2024-03-06,2.34,9.01,-4.67,5.0,21.89,140.29%,-2%/9%(阴),5%,9%,9%,6%,3%,3%
301136,招标股份,2023-08-28,5.86,9.01,-3.89,7.72,23.02,236.08%,-5%/15%(阳),7%,4%,-6%,-13%,-15%,-16%
301169,零点有数,2024-09-27,2.17,8.72,2.53,6.41,20.2,227.53%,3%/19%(板),43%(板),42%,41%,15%,15%,15%
301177,迪阿股份,2026-01-28,2.3,5.68,-2.0,6.92,19.85,227.7%,1%/13%(阴),-3%,-10%,-14%,-11%,-14%,-13%
301179,泽宇智能,2023-05-24,4.39,12.72,-5.77,6.54,17.85,124.12%,-8%/11%(阴),-4%,0%,-3%,-8%,-10%,-10%
301180,万祥科技,2024-05-31,11.44,22.66,-6.0,6.33,15.52,169.98%,-10%/0%(阳),-9%,-15%,-16%,-24%,-24%,-16%
301197,工大科雅,2025-06-05,1.44,5.75,0.74,1.6,20.97,517.85%,-9%/-2%(阴),-7%,-2%,6%,1%,4%,13%(板)
301201,诚达药业,2025-04-01,1.69,8.47,-0.78,5.34,19.52,357.44%,-5%/-2%(阴),3%,-4%,-7%,-13%,-11%,-7%
301209,联合化学,2025-04-28,14.34,21.45,0.88,7.78,20.14,103.23%,5%/19%(阳),19%,14%,12%,34%,30%,19%
301211,亨迪药业,2026-08-19,2.13,8.87,-2.57,4.98,20.96,267.16%,-9%/3%(阴),-11%,-14%,-6%,-8%,-9%,-11%
301225,恒勃股份,2023-09-28,0.14,8.24,-7.62,6.01,19.76,191.99%,13%/19%(板),20%,3%,0%,0%,4%,-4%
301228,实朴检测,2024-03-26,7.2,12.59,-9.31,7.48,22.29,118.62%,-3%/8%(阴),7%,16%,10%,18%,13%,7%
301235,华康洁净,2024-03-20,6.2,6.15,-1.07,4.11,20.93,432.88%,-7%/-2%(阴),-5%,-9%,-12%,-10%,-14%,-13%
301248,杰创智能,2023-02-09,2.6,5.59,-2.11,2.29,23.08,235.54%,-6%/4%(阴),6%,-4%,-6%,0%,-1%,-1%
301280,珠城科技,2023-02-14,1.63,4.36,-0.12,1.48,16.92,335.85%,-4%/3%(阴),-3%,-7%,-6%,-8%,-8%,-7%
301281,科源制药,2025-02-24,2.38,5.36,-0.83,2.98,20.8,422.63%,-6%/0%(阴),0%,-2%,-4%,-6%,-8%,-4%
301292,海科新源,2025-06-19,5.83,9.53,0.0,3.37,21.37,305.64%,9%/19%(板),37%,37%,31%,35%,24%,15%
301300,远翔新材,2024-12-02,7.87,10.49,-0.49,6.08,21.57,180.52%,-7%/7%(阴),-10%,-13%,-13%,-11%,-9%,-14%
301310,鑫宏业,2026-06-18,19.07,21.52,5.24,10.78,19.94,139.53%,-4%/6%(阴),-2%,15%(板),23%,21%,25%,31%
301315,威士顿,2025-10-29,8.63,13.03,-3.93,3.92,21.81,189.29%,-5%/-1%(阴),-4%,-6%,-4%,-5%,0%,-5%
301316,慧博云通,2023-08-01,8.98,13.06,-3.28,3.7,21.04,175.93%,-7%/4%(阳),15%,31%,27%,19%,22%,31%
301319,唯特偶,2026-04-17,1.51,6.05,3.24,24.09,19.11,240.44%,-4%/8%(阳),9%,15%,18%,16%,15%,5%
301349,信德新材,2024-11-13,15.99,19.36,-4.91,10.1,21.51,107.37%,-11%/1%(阴),-6%,-8%,-16%,-15%,-15%,-16%
301386,未来电器,2023-07-12,5.22,8.11,1.11,4.93,21.83,186.89%,6%/17%(阳),25%,19%,8%,14%,9%,-3%
301500,飞南资源,2026-01-28,2.04,3.55,0.29,4.45,16.03,308.31%,4%/18%(阳),5%,-4%,-3%,1%,-6%,-6%
301526,国际复材,2025-07-08,8.09,16.71,1.45,10.14,22.86,125.65%,4%/15%(阴),18%,8%,0%,-1%,-3%,0%
