股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
002625,光启技术,2021-06-11,11.26,7.67,9.93,7.87,12.27,161.75%,122.66%,0%/5%(阳),3%,4%,4%,8%,7%,-1%,-4%
002630,*ST华西,2012-06-13,9.96,0.12,3.61,5.38,8.19,246.81%,105.42%,-3%/-1%(阴),0%,-2%,2%,0%,-3%,-6%,-5%
002638,勤上股份,2015-05-12,9.39,8.71,9.82,-0.36,7.94,118.08%,115.46%,-3%/4%(阳),8%,4%,2%,5%,11%,15%,15%
002643,万润股份,2021-11-18,2.02,1.39,5.83,7.12,8.58,138.76%,125.22%,-4%/1%(阴),4%,8%,6%,5%,7%,8%,7%
002644,佛慈制药,2024-09-25,10.36,-0.43,3.71,1.86,8.02,232.63%,109.79%,-2%/0%(阳),4%,12%,22%,13%,10%,7%,4%
002646,天佑德酒,2024-09-30,10.57,7.75,7.44,8.53,9.49,156.21%,122.24%,-3%/9%(阴),1%,-5%,-9%,-11%,-11%,-12%,-12%
002651,利君股份,2016-07-01,10.39,5.52,9.24,4.85,9.42,160.56%,103.81%,-2%/9%(板),13%,2%,2%,0%,0%,0%,-1%
002652,扬子新材,2024-11-12,12.27,-2.23,5.57,3.13,9.97,141.99%,131.61%,-2%/4%(阳),1%,-2%,-7%,-10%,-5%,-6%,-4%
002657,中科金财,2021-11-30,11.62,0.0,7.66,6.34,9.33,109.56%,101.09%,-3%/3%(阳),4%,0%,-2%,-2%,-1%,0%,0%
002664,信质集团,2023-10-09,8.29,-3.0,3.99,7.9,6.01,166.7%,147.06%,-1%/6%(阴),1%,-1%,-1%,3%,1%,0%,-1%
002670,国盛证券,2019-09-04,9.8,6.12,11.16,5.77,12.81,238.81%,134.3%,0%/7%(阴),2%,1%,2%,4%,6%,4%,3%
002678,珠江钢琴,2015-10-21,12.88,2.04,11.28,-9.23,15.54,108.72%,100.3%,1%/7%(阳),16%(板),23%,16%,16%,16%,23%,8%
002679,福建金森,2024-04-11,10.5,-5.51,6.89,4.06,10.0,273.26%,144.46%,-5%/-2%(阴),-11%,-21%,-20%,-19%,-21%,-22%,-21%
002681,奋达科技,2019-03-07,11.16,0.76,10.13,8.16,13.66,142.45%,106.51%,-9%/-1%(阴),-5%,-2%,-4%,-8%,-9%,-10%,-8%
