股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300731,科创新源,2022-06-20,13.63,3.93,99.92%,-3%/20%(阴),-4%,0%,15%(板),32%,23%,14%
300742,未找到标的,2021-12-02,21.56,12.74,256.41%,-10%/2%(阴),-10%,-18%,-24%,-25%,-26%,-27%
300752,隆利科技,2020-12-03,20.01,15.42,150.96%,-9%/2%(阳),-2%,13%(板),11%,6%,22%(板),31%
300753,爱朋医疗,2023-05-30,19.71,6.53,222.32%,11%/19%(阴),16%,-4%,-13%,-15%,-15%,-13%
300781,因赛集团,2020-10-21,20.58,12.81,89.16%,3%/19%(阳),31%,26%,19%,29%,31%,33%
300784,利安科技,2024-10-08,18.85,13.12,156.18%,-15%/-3%(阴),-9%,-6%,-10%,-10%,-13%,-16%
300795,米奥会展,2024-12-16,17.18,9.97,161.05%,-15%/3%(阴),-6%,-13%,-12%,-17%,-22%,-21%
300804,广康生化,2025-05-29,12.5,26.93,109.47%,-9%/15%(阳),16%,4%,9%,24%,37%(板),49%
300809,华辰装备,2021-08-23,9.4,7.01,60.55%,18%/19%(板),30%,46%,61%,65%(板),57%,49%
300812,易天股份,2021-03-17,6.41,17.94,230.63%,-4%/8%(阴),-3%,2%,1%,-6%,-6%,-5%
300812,易天股份,2022-12-15,14.84,22.31,204.69%,-5%/4%(阴),-1%,8%,3%,-2%,-3%,-5%
300813,泰林生物,2021-07-20,19.65,0.0,96.27%,15%/19%(板),41%,37%,30%,23%,20%,24%
300813,泰林生物,2022-04-01,23.13,0.0,147.66%,-11%/11%(阴),-10%,-11%,-26%,-29%,-30%,-20%(板)
300818,耐普矿机,2021-12-31,0.0,0.0,175.15%,6%/17%(阳),10%,2%,2%,-5%,-3%,-5%
300822,贝仕达克,2024-11-22,20.49,16.62,138.01%,9%/20%(板),44%,52%(板),83%,92%,74%,70%
300834,星辉环材,2026-04-01,8.7,9.9,189.55%,8%/20%(板),44%,34%,28%,21%,11%,11%
300840,酷特智能,2024-11-15,18.84,0.0,37.45%,7%/20%(板),16%,36%(板),44%,32%,30%,20%
300846,首都在线,2021-01-27,20.99,23.46,193.24%,-3%/13%(阴),4%,-2%,-5%,-9%,1%(板),10%
300848,美瑞新材,2021-03-17,8.06,15.48,155.39%,5%/20%(阳),17%,22%,15%,15%,10%,7%
300860,锋尚文化,2021-12-10,20.25,14.23,112.76%,4%/19%(板),27%,26%,31%,35%,28%,20%
300868,杰美特,2024-06-13,8.87,8.27,185.64%,-8%/8%(阴),12%(板),34%(板),40%,52%,35%,17%
300881,盛德鑫泰,2021-03-22,22.6,8.14,91.83%,-15%/3%(阴),-16%,-13%,-17%,-18%,-20%,-22%
300882,万胜智能,2021-09-23,24.12,14.92,85.16%,-20%/0%(阴),-20%,-18%,-19%,-18%,-20%,-26%
300884,狄耐克,2025-05-07,18.01,5.17,286.23%,-3%/13%(阴),-3%,-8%,-8%,-9%,-11%,-12%
300895,铜牛信息,2021-08-30,21.25,1.31,120.14%,8%/18%(阳),28%,24%,22%,5%,3%,1%
300904,威力传动,2024-03-07,19.16,18.42,158.62%,-9%/-1%(阴),-8%,-2%,-7%,-8%,-3%,-3%
300927,江天化学,2025-03-26,24.58,18.88,166.5%,3%/20%(阳),7%,-3%,-3%,-6%,-7%,-15%
300929,华骐环保,2021-03-23,17.77,14.69,248.12%,-13%/-1%(阴),-11%,-14%,-13%,-20%,-16%,-20%
300930,屹通新材,2024-06-19,7.6,14.19,302.56%,-2%/19%(阳),25%,32%,52%,43%,38%,22%
300946,恒而达,2021-08-23,19.17,13.6,229.67%,-3%/11%(阴),-5%,7%(板),29%,48%,38%,26%
300949,奥雅股份,2021-12-13,21.04,15.79,129.39%,-2%/8%(阴),-5%,9%(板),8%,4%,0%,7%
300959,线上线下,2024-06-27,19.63,0.0,168.13%,-15%/-1%(阴),-18%,-15%,-19%,-24%,-25%,-25%
300963,中洲特材,2025-05-19,17.91,27.98,102.17%,1%/18%(阳),8%,1%,14%(板),34%,25%,28%
300966,共同药业,2022-03-07,14.63,18.73,125.54%,-19%/-7%(阴),-18%,-14%,-19%,-20%,-27%,-27%
300968,格林精密,2024-10-30,18.45,14.49,121.34%,11%/20%(板),44%(板),62%,48%(板),76%,51%,55%
300970,华绿生物,2021-08-16,21.61,17.55,192.41%,-14%/0%(阴),-8%,-13%,-15%,-17%,-16%,-16%
300976,达瑞电子,2024-10-08,16.77,7.5,160.93%,-9%/0%(阴),-6%,-11%,-11%,-7%,-8%,-5%
